Date,Clicks,Impressions,CTR,Position
2025-06-15,1,884,0.11%,39.93
2025-06-14,0,951,0%,41.02
2025-06-13,0,905,0%,41.31
2025-06-12,1,907,0.11%,39.26
2025-06-11,2,781,0.26%,38.75
2025-06-10,3,872,0.34%,42.66
2025-06-09,1,849,0.12%,42.37
2025-06-08,0,905,0%,40.86
2025-06-07,1,1003,0.1%,42.87
2025-06-06,1,1018,0.1%,39.57
2025-06-05,0,1451,0%,41.06
2025-06-04,2,933,0.21%,43.14
2025-06-03,2,1096,0.18%,43.4
2025-06-02,1,951,0.11%,43.68
2025-06-01,0,1131,0%,41.34
2025-05-31,0,1119,0%,44.32
2025-05-30,1,1002,0.1%,46.19
2025-05-29,0,1051,0%,39.8
2025-05-28,0,974,0%,41.75
2025-05-27,1,1091,0.09%,42.3
2025-05-26,0,935,0%,43.87
2025-05-25,0,982,0%,41.53
2025-05-24,0,1071,0%,41.79
2025-05-23,1,1116,0.09%,42.2
2025-05-22,0,1144,0%,39.75
2025-05-21,1,1051,0.1%,39.49
2025-05-20,1,1506,0.07%,41.38
2025-05-19,0,891,0%,42.32
2025-05-18,0,929,0%,41.31
2025-05-17,2,1114,0.18%,42.67
2025-05-16,1,905,0.11%,40.35
2025-05-15,1,1177,0.08%,40.2
2025-05-14,0,1085,0%,38.91
2025-05-13,0,984,0%,39.44
2025-05-12,1,995,0.1%,39.67
2025-05-11,2,1085,0.18%,40.85
2025-05-10,0,1150,0%,39.07
2025-05-09,2,1063,0.19%,39.19
2025-05-08,1,1083,0.09%,36.6
2025-05-07,2,962,0.21%,37.58
2025-05-06,2,935,0.21%,39.06
2025-05-05,1,977,0.1%,37.08
2025-05-04,1,903,0.11%,36.96
2025-05-03,0,1245,0%,37.13
2025-05-02,1,988,0.1%,38.58
2025-05-01,0,1326,0%,35.59
2025-04-30,1,1090,0.09%,37.65
2025-04-29,1,1239,0.08%,36.06
2025-04-28,1,1185,0.08%,38.71
2025-04-27,0,1752,0%,33.95
2025-04-26,0,1194,0%,37.15
2025-04-25,1,1125,0.09%,36.39
2025-04-24,1,1302,0.08%,33.42
2025-04-23,1,1202,0.08%,37.59
2025-04-22,1,924,0.11%,39.85
2025-04-21,1,1008,0.1%,40.9
2025-04-20,0,866,0%,40.67
2025-04-19,0,1100,0%,41.43
2025-04-18,2,905,0.22%,40.02
2025-04-17,0,952,0%,37.67
2025-04-16,0,867,0%,34.99
2025-04-15,2,1087,0.18%,37.9
2025-04-14,0,1253,0%,40.08
2025-04-13,0,870,0%,36.67
2025-04-12,0,1021,0%,37.09
2025-04-11,2,1042,0.19%,37.72
2025-04-10,0,1088,0%,36.06
2025-04-09,0,1050,0%,36.02
2025-04-08,3,1225,0.24%,36.79
2025-04-07,0,1061,0%,35.87
2025-04-06,0,1046,0%,35.27
2025-04-05,0,1348,0%,38.49
2025-04-04,0,967,0%,36.46
2025-04-03,0,1225,0%,34.41
2025-04-02,2,1239,0.16%,35.23
2025-04-01,0,1431,0%,34.08
2025-03-31,1,1277,0.08%,38.39
2025-03-30,0,1095,0%,37.48
2025-03-29,0,1113,0%,36.73
2025-03-28,3,1088,0.28%,33.24
2025-03-27,0,1353,0%,33.91
2025-03-26,1,1163,0.09%,34.29
2025-03-25,1,1204,0.08%,33.7
2025-03-24,2,1337,0.15%,35.86
2025-03-23,0,1132,0%,35.49
2025-03-22,0,1277,0%,35.44
2025-03-21,1,1249,0.08%,35.33
2025-03-20,0,1488,0%,33.63
2025-03-19,1,1388,0.07%,36.24
2025-03-18,0,1386,0%,34.61
2025-03-17,1,1184,0.08%,35.83
2025-03-16,0,1098,0%,36.52
2025-03-15,1,1302,0.08%,35.85
2025-03-14,0,1145,0%,35.09
2025-03-13,1,1259,0.08%,33.41
2025-03-12,0,1298,0%,35.73
2025-03-11,1,1227,0.08%,33.8
2025-03-10,0,1370,0%,34.94
2025-03-09,2,1154,0.17%,35.56
2025-03-08,1,1046,0.1%,34.49
2025-03-07,0,1082,0%,34.72
2025-03-06,2,1310,0.15%,33.29
2025-03-05,2,988,0.2%,33.74
2025-03-04,0,1092,0%,33.06
2025-03-03,1,1341,0.07%,34.73
2025-03-02,0,1210,0%,35.89
